sentence,departure,arrival
Je veux prendre le train de Clermont-Ferrand à Nice.,Clermont-Ferrand,Nice
Je vais explorer Toulon en train en partant de Marseille.,Marseille,Toulon
C'est le moment idéal pour un voyage de Perpignan à Nantes en train.,Perpignan,Nantes
Le train de Saint-Denis à Rouen est-il disponible demain ?,Saint-Denis,Rouen
Le trajet en train de Bordeaux à Nice est long mais pittoresque.,Bordeaux,Nice
Je vais explorer Toulon en train en partant de Orléans.,Orléans,Toulon
C'est le moment idéal pour un voyage de Nice à Lyon en train.,Nice,Lyon
Le voyage de Orléans à Paris en train est une excellente idée.,Orléans,Paris
"De Aix-en-Provence à Besançon, le train est mon choix préféré.",Aix-en-Provence,Besançon
Le trajet en train de Perpignan à Toulon est long mais pittoresque.,Perpignan,Toulon
Pourquoi ne pas partir de Aix-en-Provence à Strasbourg en train ce week-end ?,Aix-en-Provence,Strasbourg
Je rêve de faire un voyage en train de Limoges à Toulouse.,Limoges,Toulouse
"Allons de Saint-Denis à Paris en train, qu'en penses-tu ?",Saint-Denis,Paris
J'ai prévu de partir en train de Limoges à Rouen.,Limoges,Rouen
Je m'apprête à réserver un billet de train pour Montpellier depuis Amiens.,Amiens,Montpellier
C'est le moment idéal pour un voyage de Rennes à Nice en train.,Rennes,Nice
Mon prochain voyage sera de Lille à Bordeaux en train.,Lille,Bordeaux
"De Bordeaux à Le Havre, le train est mon choix préféré.",Bordeaux,Le Havre
"Allons de Pau à Nice en train, qu'en penses-tu ?",Pau,Nice
"Allons de Montpellier à Le Havre en train, qu'en penses-tu ?",Montpellier,Le Havre
Le train est le meilleur moyen de se rendre de Strasbourg à Clermont-Ferrand.,Strasbourg,Clermont-Ferrand
"Pour mes prochaines vacances, je vais de Toulon à Saint-Denis en train.",Toulon,Saint-Denis
"Allons de Montpellier à Saint-Étienne en train, qu'en penses-tu ?",Montpellier,Saint-Étienne
Je rêve de visiter Strasbourg en prenant le train depuis Nîmes.,Nîmes,Strasbourg
Pourquoi ne pas partir de Saint-Denis à Béziers en train ce week-end ?,Saint-Denis,Béziers
Le trajet en train de Nice à Saint-Denis est long mais pittoresque.,Nice,Saint-Denis
"Voyager de Marseille à Besançon en train, est-ce une option possible ?",Marseille,Besançon
Je rêve de visiter Marseille en prenant le train depuis Limoges.,Limoges,Marseille
Je rêve de visiter Amiens en prenant le train depuis Limoges.,Limoges,Amiens
Partir de Limoges pour Nantes en train serait génial.,Limoges,Nantes
Pourquoi ne pas partir de Strasbourg à Lille en train ce week-end ?,Strasbourg,Lille
Mon prochain voyage sera de Montpellier à Paris en train.,Montpellier,Paris
Le train de Nice à Lille offre une vue magnifique.,Nice,Lille
C'est le moment idéal pour un voyage de Besançon à Amiens en train.,Besançon,Amiens
"De Saint-Denis à Nîmes, le train est mon choix préféré.",Saint-Denis,Nîmes
Le trajet en train de Marseille à Saint-Étienne est long mais pittoresque.,Marseille,Saint-Étienne
Je souhaite découvrir Lyon en prenant le train depuis Paris.,Paris,Lyon
Je vais explorer Montpellier en train en partant de Nice.,Nice,Montpellier
Je m'apprête à réserver un billet de train pour Rennes depuis Nice.,Nice,Rennes
"De Saint-Étienne à Calais, le train est mon choix préféré.",Saint-Étienne,Calais
C'est le moment idéal pour un voyage de Limoges à Aix-en-Provence en train.,Limoges,Aix-en-Provence
Pourquoi ne pas partir de Tourcoing à Orléans en train ce week-end ?,Tourcoing,Orléans
"Voyager de Lyon à Orléans en train, est-ce une option possible ?",Lyon,Orléans
"De Marseille à Nîmes, le train est le choix le plus pratique.",Marseille,Nîmes
"Pour mes prochaines vacances, je vais de Strasbourg à Tourcoing en train.",Strasbourg,Tourcoing
Je m'apprête à réserver un billet de train pour Le Havre depuis Calais.,Calais,Le Havre
Le trajet en train de Le Mans à Perpignan est long mais pittoresque.,Le Mans,Perpignan
"Voyager de Tourcoing à La Rochelle en train, est-ce une option possible ?",Tourcoing,La Rochelle
Je souhaite découvrir Saint-Étienne en prenant le train depuis Besançon.,Besançon,Saint-Étienne
Le voyage de Montpellier à Marseille en train est une excellente idée.,Montpellier,Marseille
Je rêve de visiter Béziers en prenant le train depuis Limoges.,Limoges,Béziers
Le trajet en train de Saint-Denis à Lyon est long mais pittoresque.,Saint-Denis,Lyon
"Pour mes prochaines vacances, je vais de Le Havre à Marseille en train.",Le Havre,Marseille
Je rêve de visiter Lille en prenant le train depuis Tourcoing.,Tourcoing,Lille
Pourquoi ne pas partir de Calais à Rennes en train ce week-end ?,Calais,Rennes
Le train de Bordeaux à Strasbourg est-il disponible demain ?,Bordeaux,Strasbourg
"Voyager de Lille à Limoges en train, est-ce une option possible ?",Lille,Limoges
"Voyager de Calais à Nantes en train, est-ce une option possible ?",Calais,Nantes
Je vais explorer Lyon en train en partant de Toulouse.,Toulouse,Lyon
Mon prochain voyage sera de Le Havre à Limoges en train.,Le Havre,Limoges
Je m'apprête à réserver un billet de train pour Tourcoing depuis Perpignan.,Perpignan,Tourcoing
Le trajet en train de Clermont-Ferrand à Tourcoing est long mais pittoresque.,Clermont-Ferrand,Tourcoing
Je souhaite découvrir Orléans en prenant le train depuis Amiens.,Amiens,Orléans
Je rêve de faire un voyage en train de Clermont-Ferrand à Aix-en-Provence.,Clermont-Ferrand,Aix-en-Provence
Le voyage de Saint-Étienne à Nantes en train est une excellente idée.,Saint-Étienne,Nantes
Le trajet en train de Clermont-Ferrand à Lyon est long mais pittoresque.,Clermont-Ferrand,Lyon
Je m'apprête à réserver un billet de train pour Aix-en-Provence depuis Nantes.,Nantes,Aix-en-Provence
Le trajet en train de Pau à Calais est long mais pittoresque.,Pau,Calais
Le train de Le Havre à Lyon est-il disponible demain ?,Le Havre,Lyon
Le train est le meilleur moyen de se rendre de Aix-en-Provence à La Rochelle.,Aix-en-Provence,La Rochelle
Mon prochain voyage sera de Montpellier à Limoges en train.,Montpellier,Limoges
Je rêve de visiter La Rochelle en prenant le train depuis Bordeaux.,Bordeaux,La Rochelle
"Allons de Amiens à Toulon en train, qu'en penses-tu ?",Amiens,Toulon
Je rêve de visiter Nice en prenant le train depuis Lille.,Lille,Nice
Le trajet en train de Rouen à Rennes est long mais pittoresque.,Rouen,Rennes
Je songe à voyager en train de Nice vers Le Mans.,Nice,Le Mans
Partir de Saint-Étienne pour Paris en train serait génial.,Saint-Étienne,Paris
Paris est une belle ville. Je veux y aller en train depuis Le Havre.,Le Havre,Paris
Je rêve de visiter Nantes en prenant le train depuis Béziers.,Béziers,Nantes
"Allons de Toulon à Limoges en train, qu'en penses-tu ?",Toulon,Limoges
Le train est le meilleur moyen de se rendre de Besançon à Orléans.,Besançon,Orléans
Le trajet en train de Toulouse à Tourcoing est long mais pittoresque.,Toulouse,Tourcoing
Je rêve de faire un voyage en train de Tourcoing à Marseille.,Tourcoing,Marseille
"Voyager de Limoges à Amiens en train, est-ce une option possible ?",Limoges,Amiens
Le train de Limoges à Clermont-Ferrand est-il disponible demain ?,Limoges,Clermont-Ferrand
Je songe à voyager en train de Strasbourg vers Clermont-Ferrand.,Strasbourg,Clermont-Ferrand
Clermont-Ferrand est une belle ville. Je veux y aller en train depuis Lille.,Lille,Clermont-Ferrand
Le train de La Rochelle à Orléans est-il disponible demain ?,La Rochelle,Orléans
Partir de Calais pour Orléans en train serait génial.,Calais,Orléans
"Pour mes prochaines vacances, je vais de Clermont-Ferrand à Béziers en train.",Clermont-Ferrand,Béziers
Je songe à voyager en train de Le Mans vers Aix-en-Provence.,Le Mans,Aix-en-Provence
C'est le moment idéal pour un voyage de Amiens à Saint-Étienne en train.,Amiens,Saint-Étienne
"Pour mes prochaines vacances, je vais de Aix-en-Provence à Bordeaux en train.",Aix-en-Provence,Bordeaux
Pourquoi ne pas partir de Rennes à Aix-en-Provence en train ce week-end ?,Rennes,Aix-en-Provence
Je songe à voyager en train de Bordeaux vers Toulouse.,Bordeaux,Toulouse
"Pour mes prochaines vacances, je vais de Lyon à Béziers en train.",Lyon,Béziers
"De Nice à Le Havre, le train est le choix le plus pratique.",Nice,Le Havre
La Rochelle est une belle ville. Je veux y aller en train depuis Besançon.,Besançon,La Rochelle
Pourquoi ne pas partir de Saint-Étienne à Marseille en train ce week-end ?,Saint-Étienne,Marseille
Je m'apprête à réserver un billet de train pour Pau depuis Montpellier.,Montpellier,Pau
Le train de Orléans à Rouen est-il disponible demain ?,Orléans,Rouen
Je prévois de voyager de Rouen à Bordeaux en train.,Rouen,Bordeaux
"Allons de Strasbourg à Clermont-Ferrand en train, qu'en penses-tu ?",Strasbourg,Clermont-Ferrand
Le trajet en train de Perpignan à Lyon est long mais pittoresque.,Perpignan,Lyon
Je songe à voyager en train de Pau vers Toulouse.,Pau,Toulouse
Le train de Marseille à Béziers offre une vue magnifique.,Marseille,Béziers
Amiens est une belle ville. Je veux y aller en train depuis Calais.,Calais,Amiens
C'est le moment idéal pour un voyage de Marseille à Montpellier en train.,Marseille,Montpellier
Je m'apprête à réserver un billet de train pour Strasbourg depuis Nîmes.,Nîmes,Strasbourg
"De Lyon à Le Mans, le train est le choix le plus pratique.",Lyon,Le Mans
Le trajet en train de Rennes à Nîmes est long mais pittoresque.,Rennes,Nîmes
Bordeaux est une belle ville. Je veux y aller en train depuis Toulouse.,Toulouse,Bordeaux
Je vais explorer Calais en train en partant de Montpellier.,Montpellier,Calais
Le train est le meilleur moyen de se rendre de Rennes à Aix-en-Provence.,Rennes,Aix-en-Provence
Le trajet en train de Clermont-Ferrand à Strasbourg est long mais pittoresque.,Clermont-Ferrand,Strasbourg
Le train de Limoges à Pau offre une vue magnifique.,Limoges,Pau
C'est le moment idéal pour un voyage de Pau à Rennes en train.,Pau,Rennes
Partir de Limoges pour Tourcoing en train serait génial.,Limoges,Tourcoing
"Pour mes prochaines vacances, je vais de Nîmes à Pau en train.",Nîmes,Pau
Je m'apprête à réserver un billet de train pour Perpignan depuis Paris.,Paris,Perpignan
"Allons de Béziers à Strasbourg en train, qu'en penses-tu ?",Béziers,Strasbourg
Je souhaite découvrir Besançon en prenant le train depuis Aix-en-Provence.,Aix-en-Provence,Besançon
Mon prochain voyage sera de Montpellier à Saint-Étienne en train.,Montpellier,Saint-Étienne
Je veux prendre le train de Perpignan à Lille.,Perpignan,Lille
"Voyager de La Rochelle à Paris en train, est-ce une option possible ?",La Rochelle,Paris
Je veux prendre le train de Rennes à Limoges.,Rennes,Limoges
Pourquoi ne pas partir de Nice à Limoges en train ce week-end ?,Nice,Limoges
"Allons de Perpignan à Pau en train, qu'en penses-tu ?",Perpignan,Pau
"Allons de Le Havre à Orléans en train, qu'en penses-tu ?",Le Havre,Orléans
Le train de Orléans à Lille est-il disponible demain ?,Orléans,Lille
"De Besançon à Clermont-Ferrand, le train est mon choix préféré.",Besançon,Clermont-Ferrand
"De Clermont-Ferrand à Béziers, le train est le choix le plus pratique.",Clermont-Ferrand,Béziers
"De Lyon à Rennes, le train est mon choix préféré.",Lyon,Rennes
"Pour mes prochaines vacances, je vais de Pau à La Rochelle en train.",Pau,La Rochelle
Je songe à voyager en train de Montpellier vers Amiens.,Montpellier,Amiens
Je vais explorer Béziers en train en partant de Le Havre.,Le Havre,Béziers
"De Marseille à Lyon, le train est le choix le plus pratique.",Marseille,Lyon
Je m'apprête à réserver un billet de train pour Lyon depuis Béziers.,Béziers,Lyon
Je souhaite découvrir Montpellier en prenant le train depuis Nîmes.,Nîmes,Montpellier
Je souhaite découvrir La Rochelle en prenant le train depuis Le Havre.,Le Havre,La Rochelle
Pourquoi ne pas partir de Marseille à Rennes en train ce week-end ?,Marseille,Rennes
Je m'apprête à réserver un billet de train pour Orléans depuis Rennes.,Rennes,Orléans
Je songe à voyager en train de Rennes vers Toulon.,Rennes,Toulon
Paris est une belle ville. Je veux y aller en train depuis Strasbourg.,Strasbourg,Paris
Je veux prendre le train de Orléans à Toulon.,Orléans,Toulon
Le voyage de Saint-Étienne à Aix-en-Provence en train est une excellente idée.,Saint-Étienne,Aix-en-Provence
Le train de Toulon à Saint-Étienne est-il disponible demain ?,Toulon,Saint-Étienne
Le train de Nîmes à Bordeaux offre une vue magnifique.,Nîmes,Bordeaux
"De Montpellier à Rouen, le train est le choix le plus pratique.",Montpellier,Rouen
Je rêve de faire un voyage en train de Montpellier à Clermont-Ferrand.,Montpellier,Clermont-Ferrand
Je prévois de voyager de Nantes à Nice en train.,Nantes,Nice
Je veux prendre le train de Montpellier à Paris.,Montpellier,Paris
Partir de Clermont-Ferrand pour Saint-Denis en train serait génial.,Clermont-Ferrand,Saint-Denis
Je rêve de visiter Calais en prenant le train depuis Rouen.,Rouen,Calais
Je rêve de faire un voyage en train de Béziers à La Rochelle.,Béziers,La Rochelle
Le voyage de Paris à Rouen en train est une excellente idée.,Paris,Rouen
Marseille est une belle ville. Je veux y aller en train depuis Nice.,Nice,Marseille
"Pour mes prochaines vacances, je vais de La Rochelle à Montpellier en train.",La Rochelle,Montpellier
Le trajet en train de Le Mans à Rennes est long mais pittoresque.,Le Mans,Rennes
Le train de Saint-Denis à Tourcoing offre une vue magnifique.,Saint-Denis,Tourcoing
Montpellier est une belle ville. Je veux y aller en train depuis Nice.,Nice,Montpellier
Je rêve de faire un voyage en train de Rouen à Amiens.,Rouen,Amiens
J'ai prévu de partir en train de Saint-Denis à Limoges.,Saint-Denis,Limoges
Le trajet en train de Pau à Amiens est long mais pittoresque.,Pau,Amiens
Le train de Bordeaux à Saint-Denis est-il disponible demain ?,Bordeaux,Saint-Denis
C'est le moment idéal pour un voyage de Clermont-Ferrand à Le Mans en train.,Clermont-Ferrand,Le Mans
Le train est le meilleur moyen de se rendre de Le Mans à Nice.,Le Mans,Nice
Je vais explorer Rennes en train en partant de Strasbourg.,Strasbourg,Rennes
Le trajet en train de Béziers à Saint-Denis est long mais pittoresque.,Béziers,Saint-Denis
"De Toulon à Limoges, le train est mon choix préféré.",Toulon,Limoges
Je vais explorer La Rochelle en train en partant de Amiens.,Amiens,La Rochelle
"De Orléans à Rouen, le train est mon choix préféré.",Orléans,Rouen
"Allons de Clermont-Ferrand à Orléans en train, qu'en penses-tu ?",Clermont-Ferrand,Orléans
Toulon est une belle ville. Je veux y aller en train depuis Clermont-Ferrand.,Clermont-Ferrand,Toulon
Pourquoi ne pas partir de Rennes à Bordeaux en train ce week-end ?,Rennes,Bordeaux
Je souhaite découvrir Bordeaux en prenant le train depuis Limoges.,Limoges,Bordeaux
Je m'apprête à réserver un billet de train pour Toulouse depuis Le Mans.,Le Mans,Toulouse
Je veux prendre le train de Calais à Clermont-Ferrand.,Calais,Clermont-Ferrand
"Allons de La Rochelle à Clermont-Ferrand en train, qu'en penses-tu ?",La Rochelle,Clermont-Ferrand
Le train de Lyon à Nantes est-il disponible demain ?,Lyon,Nantes
Je songe à voyager en train de Besançon vers Amiens.,Besançon,Amiens
"Voyager de Limoges à Aix-en-Provence en train, est-ce une option possible ?",Limoges,Aix-en-Provence
Mon prochain voyage sera de Nîmes à Le Mans en train.,Nîmes,Le Mans
Le voyage de Rennes à Pau en train est une excellente idée.,Rennes,Pau
Mon prochain voyage sera de Rennes à Tourcoing en train.,Rennes,Tourcoing
Je rêve de visiter Saint-Denis en prenant le train depuis Orléans.,Orléans,Saint-Denis
Partir de Marseille pour Rennes en train serait génial.,Marseille,Rennes
Pourquoi ne pas partir de Toulon à Clermont-Ferrand en train ce week-end ?,Toulon,Clermont-Ferrand
Mon prochain voyage sera de Marseille à Béziers en train.,Marseille,Béziers
Je veux prendre le train de Toulon à Montpellier.,Toulon,Montpellier
"Voyager de Strasbourg à Clermont-Ferrand en train, est-ce une option possible ?",Strasbourg,Clermont-Ferrand
Le trajet en train de Lyon à Limoges est long mais pittoresque.,Lyon,Limoges
Je souhaite découvrir Perpignan en prenant le train depuis Lyon.,Lyon,Perpignan
Le train de Perpignan à Orléans offre une vue magnifique.,Perpignan,Orléans
Je prévois de voyager de Tourcoing à Orléans en train.,Tourcoing,Orléans
Le train est le meilleur moyen de se rendre de Orléans à Nantes.,Orléans,Nantes
Je rêve de visiter Saint-Denis en prenant le train depuis Béziers.,Béziers,Saint-Denis
Je veux prendre le train de Bordeaux à Marseille.,Bordeaux,Marseille
"Allons de Saint-Denis à Clermont-Ferrand en train, qu'en penses-tu ?",Saint-Denis,Clermont-Ferrand
Pourquoi ne pas partir de Besançon à Strasbourg en train ce week-end ?,Besançon,Strasbourg
Le train de Lille à Toulon est-il disponible demain ?,Lille,Toulon
"De Aix-en-Provence à Tourcoing, le train est mon choix préféré.",Aix-en-Provence,Tourcoing
Le train de Saint-Étienne à Amiens offre une vue magnifique.,Saint-Étienne,Amiens
Le train est le meilleur moyen de se rendre de Nantes à Toulon.,Nantes,Toulon
Le voyage de La Rochelle à Perpignan en train est une excellente idée.,La Rochelle,Perpignan
J'ai prévu de partir en train de Toulouse à Paris.,Toulouse,Paris
Je prévois de voyager de Strasbourg à Saint-Denis en train.,Strasbourg,Saint-Denis
Le train de Paris à Rennes offre une vue magnifique.,Paris,Rennes
J'ai prévu de partir en train de Perpignan à Lyon.,Perpignan,Lyon
Je rêve de visiter Saint-Étienne en prenant le train depuis Aix-en-Provence.,Aix-en-Provence,Saint-Étienne
"Pour mes prochaines vacances, je vais de Lyon à Clermont-Ferrand en train.",Lyon,Clermont-Ferrand
Mon prochain voyage sera de Saint-Denis à Nantes en train.,Saint-Denis,Nantes
Je rêve de visiter Saint-Denis en prenant le train depuis Perpignan.,Perpignan,Saint-Denis
Je rêve de visiter Strasbourg en prenant le train depuis Bordeaux.,Bordeaux,Strasbourg
Je vais explorer Amiens en train en partant de Béziers.,Béziers,Amiens
"Voyager de Orléans à Pau en train, est-ce une option possible ?",Orléans,Pau
Je souhaite découvrir Nantes en prenant le train depuis Paris.,Paris,Nantes
Le train de Calais à Béziers est-il disponible demain ?,Calais,Béziers
C'est le moment idéal pour un voyage de Nîmes à Calais en train.,Nîmes,Calais
Le trajet en train de Béziers à Besançon est long mais pittoresque.,Béziers,Besançon
"De Nantes à Paris, le train est le choix le plus pratique.",Nantes,Paris
"De Aix-en-Provence à Perpignan, le train est le choix le plus pratique.",Aix-en-Provence,Perpignan
Le voyage de Marseille à Lille en train est une excellente idée.,Marseille,Lille
J'ai prévu de partir en train de Pau à Amiens.,Pau,Amiens
"Pour mes prochaines vacances, je vais de Lille à Marseille en train.",Lille,Marseille
Je rêve de visiter Béziers en prenant le train depuis Strasbourg.,Strasbourg,Béziers
Je vais explorer Saint-Denis en train en partant de Toulouse.,Toulouse,Saint-Denis
Je veux prendre le train de Saint-Étienne à Rouen.,Saint-Étienne,Rouen
Je vais explorer Strasbourg en train en partant de Rouen.,Rouen,Strasbourg
Je souhaite découvrir Le Havre en prenant le train depuis Toulon.,Toulon,Le Havre
"De Saint-Étienne à Toulouse, le train est mon choix préféré.",Saint-Étienne,Toulouse
"Allons de Pau à Saint-Denis en train, qu'en penses-tu ?",Pau,Saint-Denis
Je souhaite découvrir Nantes en prenant le train depuis Lille.,Lille,Nantes
Mon prochain voyage sera de Limoges à Orléans en train.,Limoges,Orléans
Je prévois de voyager de Perpignan à La Rochelle en train.,Perpignan,La Rochelle
Mon prochain voyage sera de Saint-Étienne à Marseille en train.,Saint-Étienne,Marseille
Partir de Nice pour Montpellier en train serait génial.,Nice,Montpellier
C'est le moment idéal pour un voyage de Nîmes à La Rochelle en train.,Nîmes,La Rochelle
Le train de Toulouse à Amiens est-il disponible demain ?,Toulouse,Amiens
"De Aix-en-Provence à Le Havre, le train est mon choix préféré.",Aix-en-Provence,Le Havre
Je songe à voyager en train de Orléans vers Clermont-Ferrand.,Orléans,Clermont-Ferrand
"Pour mes prochaines vacances, je vais de Amiens à Pau en train.",Amiens,Pau
"De Perpignan à Nîmes, le train est mon choix préféré.",Perpignan,Nîmes
Je prévois de voyager de Limoges à Nice en train.,Limoges,Nice
Je souhaite découvrir Lyon en prenant le train depuis Béziers.,Béziers,Lyon
Je veux prendre le train de Le Mans à Paris.,Le Mans,Paris
Pourquoi ne pas partir de Le Mans à Montpellier en train ce week-end ?,Le Mans,Montpellier
J'ai prévu de partir en train de Lyon à Toulon.,Lyon,Toulon
Je m'apprête à réserver un billet de train pour Amiens depuis Bordeaux.,Bordeaux,Amiens
Mon prochain voyage sera de Amiens à Nice en train.,Amiens,Nice
Nantes est une belle ville. Je veux y aller en train depuis Bordeaux.,Bordeaux,Nantes
Je vais explorer Strasbourg en train en partant de Nantes.,Nantes,Strasbourg
Je veux prendre le train de Calais à Orléans.,Calais,Orléans
"De Rennes à Lyon, le train est le choix le plus pratique.",Rennes,Lyon
Mon prochain voyage sera de Toulouse à Tourcoing en train.,Toulouse,Tourcoing
"Voyager de Béziers à Bordeaux en train, est-ce une option possible ?",Béziers,Bordeaux
"Allons de Clermont-Ferrand à Paris en train, qu'en penses-tu ?",Clermont-Ferrand,Paris
Le train de Rennes à Toulon offre une vue magnifique.,Rennes,Toulon
"De Rouen à Pau, le train est le choix le plus pratique.",Rouen,Pau
Je rêve de faire un voyage en train de Toulon à Marseille.,Toulon,Marseille
Je rêve de faire un voyage en train de Strasbourg à Pau.,Strasbourg,Pau
Pourquoi ne pas partir de Paris à Lyon en train ce week-end ?,Paris,Lyon
"De Calais à Béziers, le train est le choix le plus pratique.",Calais,Béziers
J'ai prévu de partir en train de Toulouse à Nantes.,Toulouse,Nantes
Je veux prendre le train de Toulouse à Strasbourg.,Toulouse,Strasbourg
Le trajet en train de Limoges à Saint-Étienne est long mais pittoresque.,Limoges,Saint-Étienne
Le voyage de Le Mans à Saint-Étienne en train est une excellente idée.,Le Mans,Saint-Étienne
Le trajet en train de Amiens à Béziers est long mais pittoresque.,Amiens,Béziers
C'est le moment idéal pour un voyage de Toulouse à Nîmes en train.,Toulouse,Nîmes
Je souhaite découvrir Toulon en prenant le train depuis Clermont-Ferrand.,Clermont-Ferrand,Toulon
Le train de Bordeaux à Perpignan est-il disponible demain ?,Bordeaux,Perpignan
Je rêve de visiter Perpignan en prenant le train depuis Clermont-Ferrand.,Clermont-Ferrand,Perpignan
"Pour mes prochaines vacances, je vais de Rennes à Montpellier en train.",Rennes,Montpellier
Je rêve de faire un voyage en train de Toulon à Perpignan.,Toulon,Perpignan
Le train de Nîmes à Strasbourg est-il disponible demain ?,Nîmes,Strasbourg
C'est le moment idéal pour un voyage de Le Havre à La Rochelle en train.,Le Havre,La Rochelle
Je m'apprête à réserver un billet de train pour Saint-Denis depuis Le Havre.,Le Havre,Saint-Denis
Le voyage de Marseille à Aix-en-Provence en train est une excellente idée.,Marseille,Aix-en-Provence
Le trajet en train de Le Mans à Limoges est long mais pittoresque.,Le Mans,Limoges
"De Besançon à Limoges, le train est mon choix préféré.",Besançon,Limoges
Je veux prendre le train de Nantes à Lille.,Nantes,Lille
Partir de Bordeaux pour Lyon en train serait génial.,Bordeaux,Lyon
Le train de Nice à Bordeaux est-il disponible demain ?,Nice,Bordeaux
Je vais explorer Le Mans en train en partant de La Rochelle.,La Rochelle,Le Mans
"Voyager de Pau à Toulon en train, est-ce une option possible ?",Pau,Toulon
Pourquoi ne pas partir de Tourcoing à Clermont-Ferrand en train ce week-end ?,Tourcoing,Clermont-Ferrand
"Voyager de Toulouse à Calais en train, est-ce une option possible ?",Toulouse,Calais
Je songe à voyager en train de Perpignan vers Rouen.,Perpignan,Rouen
Le train de Lyon à Orléans est-il disponible demain ?,Lyon,Orléans
Le train de Le Mans à Toulon offre une vue magnifique.,Le Mans,Toulon
Je songe à voyager en train de Lille vers Amiens.,Lille,Amiens
"De Pau à Béziers, le train est mon choix préféré.",Pau,Béziers
Le train de Béziers à Rennes offre une vue magnifique.,Béziers,Rennes
Le trajet en train de Lyon à Paris est long mais pittoresque.,Lyon,Paris
"Allons de Limoges à Amiens en train, qu'en penses-tu ?",Limoges,Amiens
Le voyage de Bordeaux à Tourcoing en train est une excellente idée.,Bordeaux,Tourcoing
Je souhaite découvrir Rennes en prenant le train depuis Le Mans.,Le Mans,Rennes
"Allons de Marseille à Perpignan en train, qu'en penses-tu ?",Marseille,Perpignan
"Voyager de Nantes à Lille en train, est-ce une option possible ?",Nantes,Lille
J'ai prévu de partir en train de Limoges à Lyon.,Limoges,Lyon
Je souhaite découvrir Saint-Étienne en prenant le train depuis Le Mans.,Le Mans,Saint-Étienne
Je veux prendre le train de Nice à Clermont-Ferrand.,Nice,Clermont-Ferrand
Je vais explorer Bordeaux en train en partant de Lyon.,Lyon,Bordeaux
Pourquoi ne pas partir de Orléans à Lyon en train ce week-end ?,Orléans,Lyon
"Pour mes prochaines vacances, je vais de Nice à Pau en train.",Nice,Pau
Le train est le meilleur moyen de se rendre de Paris à Limoges.,Paris,Limoges
Le train de Lyon à La Rochelle est-il disponible demain ?,Lyon,La Rochelle
Je souhaite découvrir Lyon en prenant le train depuis Saint-Denis.,Saint-Denis,Lyon
"Voyager de Rennes à Strasbourg en train, est-ce une option possible ?",Rennes,Strasbourg
"Allons de Rouen à Perpignan en train, qu'en penses-tu ?",Rouen,Perpignan
"De Aix-en-Provence à Limoges, le train est mon choix préféré.",Aix-en-Provence,Limoges
C'est le moment idéal pour un voyage de Pau à Nîmes en train.,Pau,Nîmes
Partir de Orléans pour Perpignan en train serait génial.,Orléans,Perpignan
J'ai prévu de partir en train de Pau à Marseille.,Pau,Marseille
Le voyage de Lille à Clermont-Ferrand en train est une excellente idée.,Lille,Clermont-Ferrand
Je m'apprête à réserver un billet de train pour Pau depuis Saint-Étienne.,Saint-Étienne,Pau
Je vais explorer Le Mans en train en partant de Calais.,Calais,Le Mans
Le train de Toulouse à Montpellier est-il disponible demain ?,Toulouse,Montpellier
Je rêve de visiter Nantes en prenant le train depuis Rennes.,Rennes,Nantes
Je veux prendre le train de Perpignan à Toulon.,Perpignan,Toulon
Le train de Perpignan à Saint-Denis offre une vue magnifique.,Perpignan,Saint-Denis
Le voyage de Toulouse à Tourcoing en train est une excellente idée.,Toulouse,Tourcoing
Je rêve de faire un voyage en train de Lille à Amiens.,Lille,Amiens
"Allons de Besançon à Saint-Denis en train, qu'en penses-tu ?",Besançon,Saint-Denis
"Voyager de Le Mans à Pau en train, est-ce une option possible ?",Le Mans,Pau
Je souhaite découvrir La Rochelle en prenant le train depuis Le Mans.,Le Mans,La Rochelle
Aix-en-Provence est une belle ville. Je veux y aller en train depuis Pau.,Pau,Aix-en-Provence
J'ai prévu de partir en train de Nantes à Béziers.,Nantes,Béziers
Je souhaite découvrir Le Mans en prenant le train depuis Saint-Étienne.,Saint-Étienne,Le Mans
Pourquoi ne pas partir de Strasbourg à Toulouse en train ce week-end ?,Strasbourg,Toulouse
Je veux prendre le train de Rouen à Perpignan.,Rouen,Perpignan
"Pour mes prochaines vacances, je vais de Orléans à Paris en train.",Orléans,Paris
"Pour mes prochaines vacances, je vais de Tourcoing à Saint-Étienne en train.",Tourcoing,Saint-Étienne
Le train de Rennes à Rouen offre une vue magnifique.,Rennes,Rouen
Je rêve de faire un voyage en train de Orléans à Nîmes.,Orléans,Nîmes
C'est le moment idéal pour un voyage de Nice à Nantes en train.,Nice,Nantes
Je vais explorer Besançon en train en partant de Toulon.,Toulon,Besançon
Partir de Strasbourg pour Nantes en train serait génial.,Strasbourg,Nantes
Pourquoi ne pas partir de Rouen à Rennes en train ce week-end ?,Rouen,Rennes
Je songe à voyager en train de Limoges vers Bordeaux.,Limoges,Bordeaux
Le train de Rennes à Bordeaux offre une vue magnifique.,Rennes,Bordeaux
Mon prochain voyage sera de Bordeaux à Rennes en train.,Bordeaux,Rennes
Le train est le meilleur moyen de se rendre de Rouen à Strasbourg.,Rouen,Strasbourg
"Pour mes prochaines vacances, je vais de Paris à Pau en train.",Paris,Pau
Partir de Le Mans pour Le Havre en train serait génial.,Le Mans,Le Havre
Je prévois de voyager de Toulon à Marseille en train.,Toulon,Marseille
